gene_names,coefficients,valid_p_value,adjusted_p_value
HIST1H4H,0.107972758520441,0.0013370038049300924,0.009062421694850388
EEF1E1,0.13262994145967627,4.9715205310576175e-06,6.809268810124434e-05
GMPR,-0.08221938995808206,0.008614273885419042,0.04152495565177774
SFXN1,-0.09732101524754717,0.001030231914866056,0.007440147574269044
CLTB,-0.09639166464231079,0.0014397201133786203,0.009692488627694711
NSUN2,0.10069660300392957,0.00023871746667172196,0.002083825857021172
HAPLN1,0.07733665254545735,0.010213628029589326,0.0473931431466458
AK6,0.0809287177310772,0.004204229706101141,0.023300108393679544
TAF9,0.08574634495147491,0.002242601893877846,0.014139070988067944
CENPH,-0.07869396602690742,0.009979565588616526,0.04652445365960663
CD180,0.2400959563675126,1e-10,3.747169811320755e-09
CENPK,-0.09038866717253084,0.006379238051797647,0.032485043002231095
IL31RA,-0.23719330754834828,1e-10,3.747169811320755e-09
PLPP1,0.08772429820644055,0.004012757750070085,0.022448836314476587
HMGCS1,0.17607473249712383,4.370478566124372e-09,1.1729419503139194e-07
BC147527,-0.07276122472455535,0.0073584661668811505,0.03608373779611349
FHIT,0.10544469355334025,0.00124754797976768,0.008663042964400743
GM48099,0.14038427472058687,3.649318114832324e-05,0.0003982168008822525
DLG5,0.11119899297789308,0.0028464981552724596,0.017051370835062772
CACNA1D,0.11373392318566078,0.0003620265821998117,0.0029833393869245894
PRKCD,0.22710705099341677,1e-10,3.747169811320755e-09
DLGAP5,0.19543365704674945,2.1809408988867026e-09,6.18764089312713e-08
CCNB1IP1,0.1187147308093271,1.61026760488927e-05,0.00018923026410118876
APEX1,-0.09179746088406174,0.0020896136105548455,0.013302808274990596
HAUS4,-0.08345488635547903,0.006901822228888467,0.034353430943790716
TINF2,-0.11077192972421941,0.00017990819499074954,0.0016271510278539133
PHF11B,0.10125218276117533,0.00023961658193658275,0.002083825857021172
GUCY1B2,0.17835523787109517,2.0900885281647648e-10,7.282308450763548e-09
FDFT1,-0.0930881563417105,0.0017316014076327953,0.01134970427577139
NUGGC,0.23345540442587248,1e-10,3.747169811320755e-09
CLU,0.144634402102478,0.005574026577300122,0.029363439741427164
CDCA2,-0.10856413360112177,0.002850480925096093,0.017051370835062772
BORA,0.08550045486276933,0.002730428153668783,0.016482159006644997
SELENOP,-0.15587434997714186,1.1119639515849302e-07,2.186495453314526e-06
TARS,0.1557965231997582,2.0661120544451468e-08,4.827410047209484e-07
BASP1,-0.19517775594992334,1.063145292499029e-08,2.63925818862884e-07
PABPC1,0.546698817794294,1e-10,3.747169811320755e-09
AZIN1,0.15904756210424206,8.866213846526408e-08,1.7608300699201447e-06
TBC1D31,0.12535445661935835,9.730265204554864e-05,0.000938073140594464
MYC,-0.1192646192335651,4.659014604130593e-05,0.0004921703725427318
NDRG1,0.1473965812887872,2.8678392932977496e-07,5.2252558132929644e-06
ADSL,0.1745085862821977,2.560735007430414e-09,7.162844682756059e-08
SNU13,-0.09256719193221329,0.0030876217398796927,0.018195895475967568
CRELD2,0.10444869209251455,0.000242067961354428,0.002083825857021172
TUBA1B,0.24951366003015701,2.1061101720787717e-08,4.86364511831214e-07
TUBA1A,0.10374838091097505,0.0008147750003739695,0.0060604612387367175
TUBA1C,0.18585135805393496,3.224639790217015e-08,7.195656880192125e-07
RACGAP1,0.13200915732904056,0.00037073856318508327,0.003029986775660804
CBX5,-0.17334696385025017,6.124984845683504e-08,1.2804442003713095e-06
EMP2,0.13446324562908155,5.5364014220287126e-05,0.0005667676919664445
SOCS1,-0.2756253705837704,1e-10,3.747169811320755e-09
LITAF,0.23149248491378407,1e-10,3.747169811320755e-09
SNN,0.09641182852375263,0.00046290698118687515,0.0037069889703110243
ZC3H7A,0.13170933381543484,2.2846392081697825e-05,0.00026689961573089343
RSL1D1,0.0934489787675319,0.0020704386206647136,0.013264164840774586
GSPT1,-0.22950893991981566,1e-10,3.747169811320755e-09
NDE1,0.08672007019560696,0.0050731886142821835,0.02726666150971868
MCM4,0.14972408375536533,7.889501316446063e-06,0.00010240882100955479
SDF2L1,-0.15720919112206733,4.013349809119313e-08,8.570443785925758e-07
GM43388,0.08886716062636307,0.0016034347226531178,0.010650238659495291
PSMD2,0.2506605424980534,1e-10,3.747169811320755e-09
TRA2B,0.09674038971239082,0.0012925457389052217,0.008882338537943842
GM31814,-0.11910201769542988,7.55774582404543e-05,0.0007430536240868428
GM15564,-0.0887029579761582,0.00321793755422597,0.018821246137156192
ZBTB20,0.10585912147732882,0.0022994990890669114,0.014361022612851843
CMSS1,-0.12612104780060088,0.00027361727454676334,0.0023222389198712477
MIR155HG,-0.08497471472917054,0.0064231579390637275,0.03262504262654876
